timestamp,device,rle_smoothed,rle_raw,rle_norm,E_th,E_pw,temp_c,vram_temp_c,power_w,util_pct,a_load,t_sustain_s,fan_pct,rolling_peak,collapse,alerts,cpu_freq_ghz,cycles_per_joule
2025-10-30T19:52:36.719572Z,cpu,0.998336,0.998336,0.209978,0.998336,1.0,,,79.38,63.5,0.635,600.0,,0.0,0.0,,1.804,22727560.0
2025-10-30T19:52:37.733887Z,cpu,0.998336,0.998336,0.569797,0.998336,1.0,,,25.88,20.7,0.207,600.0,,0.0,0.0,,1.804,69719810.0
2025-10-30T19:52:38.735489Z,cpu,0.998336,0.998336,0.269657,0.998336,1.0,,,60.62,48.5,0.485,600.0,,0.0,0.0,,1.804,29756700.0
2025-10-30T19:52:39.736647Z,cpu,0.998336,0.998336,0.328852,0.998336,1.0,,,48.75,39.0,0.39,600.0,,0.0,0.0,,1.804,37005130.0
2025-10-30T19:52:40.740645Z,cpu,0.811192,0.062614,0.346464,0.062614,1.0,,,36.38,29.1,0.291,600.0,,0.0,0.0,,1.804,49594500.0
2025-10-30T19:52:41.750646Z,cpu,0.624955,0.067155,0.235832,0.067155,1.0,,,41.88,33.5,0.335,600.0,,0.0,0.0,,1.804,43080600.0
2025-10-30T19:52:42.755664Z,cpu,0.439704,0.072079,0.150399,0.072079,1.0,,,46.75,37.4,0.374,600.0,,0.0,0.0,,1.804,38588240.0
2025-10-30T19:52:43.762663Z,cpu,0.254503,0.072334,0.121842,0.072334,1.0,,,31.88,25.5,0.255,600.0,,0.0,0.0,,1.804,56596080.0
2025-10-30T19:52:44.773448Z,cpu,0.067836,0.065001,0.014613,0.065001,1.0,,,77.38,61.9,0.619,600.0,,0.0,0.0,,1.804,23315020.0
2025-10-30T19:52:45.775560Z,cpu,0.068898,0.067924,0.020054,0.067924,1.0,,,55.88,44.7,0.447,600.0,,0.0,0.0,,1.804,32286350.0
2025-10-30T19:52:46.777970Z,cpu,0.070209,0.073708,0.01666,0.073708,1.0,,,69.75,55.8,0.558,600.0,,0.0,0.0,,1.804,25863800.0
2025-10-30T19:52:47.794204Z,cpu,0.071465,0.078356,0.016707,0.078356,1.0,,,70.88,56.7,0.567,600.0,,0.0,0.0,,1.804,25453260.0
2025-10-30T19:52:48.799678Z,cpu,0.071724,0.073631,0.016261,0.073631,1.0,,,73.25,58.6,0.586,600.0,,0.0,0.0,,1.804,24627990.0
2025-10-30T19:52:49.801651Z,cpu,0.072728,0.070022,0.016105,0.070022,1.0,,,75.12,60.1,0.601,600.0,,0.0,0.0,,1.804,24013310.0
2025-10-30T19:52:50.804636Z,cpu,0.073057,0.069565,0.0151,0.069565,1.0,,,85.12,68.1,0.681,600.0,,0.0,0.0,,1.804,21192360.0
2025-10-30T19:52:51.807663Z,cpu,0.073506,0.075954,0.019235,0.075954,1.0,,,62.75,50.2,0.502,600.0,,0.0,0.0,,1.804,28749000.0
2025-10-30T19:52:52.809446Z,cpu,0.069056,0.056105,0.083596,0.056105,1.0,,,119.25,95.4,0.954,600.0,,0.0,0.0,,1.804,15127880.0
2025-10-30T19:52:53.964427Z,cpu,0.066986,0.063281,0.028809,0.063281,1.0,,,106.5,85.2,0.852,600.0,,0.0,0.0,,1.804,16938970.0
2025-10-30T19:52:54.969250Z,cpu,0.065128,0.060734,0.020033,0.060734,1.0,,,98.62,78.9,0.789,600.0,,0.0,0.0,,1.804,18291510.0
2025-10-30T19:52:55.971035Z,cpu,0.064666,0.067257,0.013364,0.067257,1.0,,,80.88,64.7,0.647,600.0,,0.0,0.0,,1.804,22306030.0
2025-10-30T19:52:56.978219Z,cpu,0.063253,0.068886,0.013813,0.068886,1.0,,,76.25,61.0,0.61,600.0,,0.0,0.0,,1.804,23659020.0
2025-10-30T19:52:57.982390Z,cpu,0.063754,0.058611,0.021651,0.058611,1.0,,,47.12,37.7,0.377,600.0,,0.0,0.0,,1.804,38281170.0
2025-10-30T19:52:58.985363Z,cpu,0.062618,0.057604,0.015423,0.057604,1.0,,,67.0,53.6,0.536,600.0,,0.0,0.0,,1.804,26925370.0
2025-10-30T19:52:59.988292Z,cpu,0.061124,0.053263,0.018748,0.053263,1.0,,,52.75,42.2,0.422,600.0,,0.0,0.0,,1.804,34199050.0
2025-10-30T19:53:00.991207Z,cpu,0.058297,0.053121,0.013651,0.053121,1.0,,,70.75,56.6,0.566,600.0,,0.0,0.0,,1.804,25498230.0
2025-10-30T19:53:02.002981Z,cpu,0.055231,0.053556,0.013843,0.053556,1.0,,,65.75,52.6,0.526,600.0,,0.0,0.0,,1.804,27437260.0
2025-10-30T19:53:03.005445Z,cpu,0.056914,0.067028,0.012761,0.067028,1.0,,,74.12,59.3,0.593,600.0,,0.0,0.0,,1.804,24337270.0
2025-10-30T19:53:04.007965Z,cpu,0.061611,0.081087,0.012339,0.081087,1.0,,,83.62,66.9,0.669,600.0,,0.0,0.0,,1.804,21572500.0
2025-10-30T19:53:05.011480Z,cpu,0.067882,0.084619,0.018534,0.084619,1.0,,,95.12,76.1,0.761,600.0,,0.0,0.0,,1.804,18964520.0
2025-10-30T19:53:06.015320Z,cpu,0.074583,0.086624,0.016829,0.086624,1.0,,,73.62,58.9,0.589,600.0,,0.0,0.0,,1.804,24502550.0
2025-10-30T19:53:07.017100Z,cpu,0.081103,0.086155,0.017366,0.086155,1.0,,,77.88,62.3,0.623,600.0,,0.0,0.0,,1.804,23165330.0
